macroarea,mesoarea,descrição da mesoarea,microarea,macroarea_friendlyname,mesoarea_friendlyname,microarea_friendlyname
biologia,bioquimica,"Na trilha de bioquímica, você estudará os compostos químicos essenciais para a vida na Terra, como água, sais minerais, carboidratos, lipídios, proteínas, enzimas e vitaminas. Também será abordado o DNA e o RNA, fundamentais para o armazenamento e transmissão da informação genética. Este assunto é essencial para o ENEM, pois serve de base para várias outras áreas da biologia.",introducao_a_bioquimica,Biologia,Bioquímica,Introdução à Bioquímica
biologia,bioquimica,"Na trilha de bioquímica, você estudará os compostos químicos essenciais para a vida na Terra, como água, sais minerais, carboidratos, lipídios, proteínas, enzimas e vitaminas. Também será abordado o DNA e o RNA, fundamentais para o armazenamento e transmissão da informação genética. Este assunto é essencial para o ENEM, pois serve de base para várias outras áreas da biologia.",agua_sais_carboidratos,Biologia,Bioquímica,"Água, Sais e Carboidratos"
biologia,bioquimica,"Na trilha de bioquímica, você estudará os compostos químicos essenciais para a vida na Terra, como água, sais minerais, carboidratos, lipídios, proteínas, enzimas e vitaminas. Também será abordado o DNA e o RNA, fundamentais para o armazenamento e transmissão da informação genética. Este assunto é essencial para o ENEM, pois serve de base para várias outras áreas da biologia.",lipidios_proteinas_enzimas,Biologia,Bioquímica,"Lipídios, Proteínas e Enzimas"
biologia,bioquimica,"Na trilha de bioquímica, você estudará os compostos químicos essenciais para a vida na Terra, como água, sais minerais, carboidratos, lipídios, proteínas, enzimas e vitaminas. Também será abordado o DNA e o RNA, fundamentais para o armazenamento e transmissão da informação genética. Este assunto é essencial para o ENEM, pois serve de base para várias outras áreas da biologia.",dna_rna,Biologia,Bioquímica,Dna e Rna
biologia,bioquimica,"Na trilha de bioquímica, você estudará os compostos químicos essenciais para a vida na Terra, como água, sais minerais, carboidratos, lipídios, proteínas, enzimas e vitaminas. Também será abordado o DNA e o RNA, fundamentais para o armazenamento e transmissão da informação genética. Este assunto é essencial para o ENEM, pois serve de base para várias outras áreas da biologia.",vitaminas,Biologia,Bioquímica,Vitaminas
biologia,citologia,"Na trilha de citologia, você compreenderá a estrutura e o funcionamento das células, as unidades fundamentais da vida. Serão estudadas as diferenças entre células procariontes e eucariontes, bem como os componentes celulares, como membrana plasmática, citoplasma e organelas. Esses conhecimentos são muito cobrados no ENEM em contextos fisiológicos e evolutivos.",introducao_a_citologia,Biologia,Citologia,Introdução à Citologia
biologia,citologia,"Na trilha de citologia, você compreenderá a estrutura e o funcionamento das células, as unidades fundamentais da vida. Serão estudadas as diferenças entre células procariontes e eucariontes, bem como os componentes celulares, como membrana plasmática, citoplasma e organelas. Esses conhecimentos são muito cobrados no ENEM em contextos fisiológicos e evolutivos.",celula_procarionte_e_eucarionte,Biologia,Citologia,Célula Procarionte e Eucarionte
biologia,citologia,"Na trilha de citologia, você compreenderá a estrutura e o funcionamento das células, as unidades fundamentais da vida. Serão estudadas as diferenças entre células procariontes e eucariontes, bem como os componentes celulares, como membrana plasmática, citoplasma e organelas. Esses conhecimentos são muito cobrados no ENEM em contextos fisiológicos e evolutivos.",membrana_plasmatica,Biologia,Citologia,Membrana Plasmática
biologia,citologia,"Na trilha de citologia, você compreenderá a estrutura e o funcionamento das células, as unidades fundamentais da vida. Serão estudadas as diferenças entre células procariontes e eucariontes, bem como os componentes celulares, como membrana plasmática, citoplasma e organelas. Esses conhecimentos são muito cobrados no ENEM em contextos fisiológicos e evolutivos.",citoplasma,Biologia,Citologia,Citoplasma
biologia,citologia,"Na trilha de citologia, você compreenderá a estrutura e o funcionamento das células, as unidades fundamentais da vida. Serão estudadas as diferenças entre células procariontes e eucariontes, bem como os componentes celulares, como membrana plasmática, citoplasma e organelas. Esses conhecimentos são muito cobrados no ENEM em contextos fisiológicos e evolutivos.",organelas,Biologia,Citologia,Organelas
biologia,genetica,"A trilha de genética aborda os princípios da hereditariedade, como as leis de Mendel, os grupos sanguíneos (sistema ABO e Rh), e as aplicações modernas da biotecnologia. O ENEM gosta de questões com cálculo nesses assuntos.",introducao_a_genetica,Biologia,Genética,Introdução à Genética
biologia,genetica,"A trilha de genética aborda os princípios da hereditariedade, como as leis de Mendel, os grupos sanguíneos (sistema ABO e Rh), e as aplicações modernas da biotecnologia. O ENEM gosta de questões com cálculo nesses assuntos.",primeira_lei_de_mendel,Biologia,Genética,Primeira Lei de Mendel
biologia,genetica,"A trilha de genética aborda os princípios da hereditariedade, como as leis de Mendel, os grupos sanguíneos (sistema ABO e Rh), e as aplicações modernas da biotecnologia. O ENEM gosta de questões com cálculo nesses assuntos.",segunda_lei_de_mendel,Biologia,Genética,Segunda Lei de Mendel
biologia,genetica,"A trilha de genética aborda os princípios da hereditariedade, como as leis de Mendel, os grupos sanguíneos (sistema ABO e Rh), e as aplicações modernas da biotecnologia. O ENEM gosta de questões com cálculo nesses assuntos.",sistema_abo_e_rh,Biologia,Genética,Sistema Abo e Rh
biologia,genetica,"A trilha de genética aborda os princípios da hereditariedade, como as leis de Mendel, os grupos sanguíneos (sistema ABO e Rh), e as aplicações modernas da biotecnologia. O ENEM gosta de questões com cálculo nesses assuntos.",biotecnologia,Biologia,Genética,Biotecnologia
biologia,evolucao,"Nesta trilha você estudará as principais teorias evolutivas como o Lamarckismo, Darwinismo e a Teoria Sintética da Evolução. Também aprenderá sobre os critérios da taxonomia e classificação dos seres vivos. Esses conteúdos são recorrentes no ENEM, especialmente em questões que relacionam evolução com ecologia e adaptação.",lamarckismo,Biologia,Evolução,Lamarckismo
biologia,evolucao,"Nesta trilha você estudará as principais teorias evolutivas como o Lamarckismo, Darwinismo e a Teoria Sintética da Evolução. Também aprenderá sobre os critérios da taxonomia e classificação dos seres vivos. Esses conteúdos são recorrentes no ENEM, especialmente em questões que relacionam evolução com ecologia e adaptação.",darwinismo,Biologia,Evolução,Darwinismo
